experiment_doc_id,strategy,strategy_label,evaluable_cases,false_positives,false_negatives,total_errors,error_rate
PATH-annual-report-2024,S4_hybrid,S4 – Hybrid,2,0,1,1,0.5
PATH-annual-report-2024,S5_extended,S5 – Extended extraction,2,0,1,1,0.5
Public-Citizen-Foundation-Inc.-FS-3,S1_full,S1 – Full text,4,1,0,1,0.25
Public-Citizen-Foundation-Inc.-FS-3,S2_sections,S2 – Section filtering,4,1,0,1,0.25
Public-Citizen-Foundation-Inc.-FS-3,S3_fields,S3 – Field extraction,4,0,0,0,0.0
Public-Citizen-Foundation-Inc.-FS-3,S4_hybrid,S4 – Hybrid,4,0,0,0,0.0
Public-Citizen-Foundation-Inc.-FS-3,S5_extended,S5 – Extended extraction,4,1,0,1,0.25
Somos+2024+Audited+Financial+Statements+-+Final,S1_full,S1 – Full text,6,0,0,0,0.0
Somos+2024+Audited+Financial+Statements+-+Final,S2_sections,S2 – Section filtering,6,1,0,1,0.16666666666666666
Somos+2024+Audited+Financial+Statements+-+Final,S3_fields,S3 – Field extraction,6,1,2,3,0.5
Somos+2024+Audited+Financial+Statements+-+Final,S4_hybrid,S4 – Hybrid,6,1,2,3,0.5
Somos+2024+Audited+Financial+Statements+-+Final,S5_extended,S5 – Extended extraction,6,1,2,3,0.5
financial-statements-2024,S1_full,S1 – Full text,6,0,2,2,0.3333333333333333
financial-statements-2024,S2_sections,S2 – Section filtering,6,0,2,2,0.3333333333333333
financial-statements-2024,S3_fields,S3 – Field extraction,6,1,2,3,0.5
financial-statements-2024,S4_hybrid,S4 – Hybrid,6,0,2,2,0.3333333333333333
financial-statements-2024,S5_extended,S5 – Extended extraction,6,0,2,2,0.3333333333333333
